u_name,count
HTI,352
IDN_SU,193
POL,437
USA_TX,250
ZMB,33
ARM,199
MOZ,53
CUB,18
JOR,31
FRA,1445
SOM,20
FSM,84
BOL,1091
CHL_NC,169
URY,30
LBY,15
USA_NE,1402
ITA,1578
PRT_IS,33
SEN,160
GTM,108
IND_SO,231
GUY,102
COM,38
BHS,14
USA_HA,50
PRY,25
ARE,12
CRI,57
AUS_WE,260
CND_BC,1735
ERI,203
USA_GP,414
NPL,184
UGA,64
RUS_SO,117
CND_ON,1092
CHN_NW,146
USA_SO,1804
MEX_BC,18
PNG,146
AFG,69
RUS_EA,539
CND_PR,1185
BLR,294
MNG,97
HUN,73
NZL,1297
CND_QU,1623
ARG_SO,319
NOR,1547
IRQ,33
BRA_NO,485
VEN,120
BRA_SE,490
FIN,359
SAU,37
BWA,25
CHN_SC,115
ALB,138
NIC,29
MYS_WE,59
USA_PN,2079
MEX_BA,44
RUS_CE,548
MRT,94
PER,2052
CAF,229
NLD,192
PAK,252
TUR,181
ARG_NO,94
MEX_NO,55
USA_MA,3586
CND_AT,57
AUT,1088
ESP_ML,624
MDG,50
MAR,57
OMN,23
PAN,30
VNM,71
IDN_RE,146
KOR,270
PRK,17
GBR_SC,966
BRA_SO,468
ZAF,248
BTN,25
ISR,29
AUS_SO,1204
PRT,48
BRA_NE,299
NAM,37
TUN,9
GRL,298
IRN,98
CYP,9
TWN,114
ATA,991
GRC_ML,207
USA_MW,2339
COL,124
AIA,104
ROU,2187
USA_SW,1605
BRA_CW,304
IND_NO,439
CND_NO,429
ESP_BA,10
GRC_IS,24
AUS_NE,321
USA_AL,806
MEX_PC,59
KEN,64
LKA,56
MDV,1
RUS_WE,570
THA_NO,95
EST,407
LBN,47
MYS_BO,88
SLB,24
IRL,448
IDN_BA,15
FRA_CO,144
SWE,385
HND,63
CHN_EA,45
SVN,267
CHN_SW,216
ESP_CA,14
PYF,25
ECU,64
USA_RM,2340
USA_FL,338
THA_SO,15
USA_CA,2021
KAZ,234
TCD,94
MMR,88
CHN_NE,27
IND_EA,112
DEU,5011
DZA,78
UZB,42
MEX_YU,11
ARG_CE,55
IND_WE,202
CHN_NO,63
JPN,733
SRB,525
CHN_SE,140
TZA,78
KGZ,155
CHE,2021
PHL,252
CZE,435
IND_NE,159
EGY,32
ISL,111
GBR_EN,2184
QAT,3
